Date,Total Confirmed
30-01-2020,1
31-01-2020,1
01-02-2020,2
02-02-2020,3
03-02-2020,3
04-02-2020,3
05-02-2020,3
06-02-2020,3
07-02-2020,3
08-02-2020,3
09-02-2020,3
10-02-2020,3
11-02-2020,3
12-02-2020,3
13-02-2020,3
14-02-2020,3
15-02-2020,3
16-02-2020,3
17-02-2020,3
18-02-2020,3
19-02-2020,3
20-02-2020,3
21-02-2020,3
22-02-2020,3
23-02-2020,3
24-02-2020,3
25-02-2020,3
26-02-2020,3
27-02-2020,3
28-02-2020,3
29-02-2020,3
01-03-2020,3
02-03-2020,5
03-03-2020,6
04-03-2020,28
05-03-2020,30
06-03-2020,31
07-03-2020,34
08-03-2020,39
09-03-2020,46
10-03-2020,58
11-03-2020,60
12-03-2020,74
13-03-2020,81
14-03-2020,84
15-03-2020,110
16-03-2020,114
17-03-2020,137
18-03-2020,151
19-03-2020,173
20-03-2020,221
21-03-2020,283
22-03-2020,360
23-03-2020,433
24-03-2020,511
25-03-2020,616
26-03-2020,694
27-03-2020,724
28-03-2020,909
29-03-2020,1024
30-03-2020,1251
31-03-2020,1397
01-04-2020,1834
02-04-2020,2069
03-04-2020,2547
04-04-2020,3072
05-04-2020,3577
06-04-2020,4281
07-04-2020,5194